35942,TYPE_2,7.2,26836
35943,TYPE_2,7.2,26836
35944,TYPE_2,3.6,26837
35945,TYPE_2,3.6,26837
35946,TYPE_2,3.6,26838
35947,TYPE_2,3.6,26838
35948,TYPE_2,11,26839
35949,TYPE_2,11,26839
35950,TYPE_2,3.6,26840
35951,TYPE_2,3.6,26840
35952,TYPE_2,3.6,26841
35953,TYPE_2,3.6,26841
35954,TYPE_2,3.6,26842
35955,TYPE_2,3.6,26842
35956,TYPE_2,3.6,26843
35957,TYPE_2,3.6,26843
35958,THREE_PIN_SQUARE,3,26844
35959,TYPE_2,7.2,26844
35960,THREE_PIN_SQUARE,3,26846
35961,TYPE_2,7.2,26845
35962,THREE_PIN_SQUARE,3,26848
35963,TYPE_2,7.2,26848
35964,TYPE_2,3.6,26851
35965,TYPE_2,7.2,26846
35966,TYPE_2,3.6,26852
35967,THREE_PIN_SQUARE,3,26845
35968,TYPE_2,7.2,26847
35969,TYPE_2,3.6,26851
35970,TYPE_2,7.2,26849
35971,THREE_PIN_SQUARE,3,26849
35972,TYPE_2,3.6,26850
35973,TYPE_2,3.6,26852
35974,TYPE_2,3.6,26850
35975,THREE_PIN_SQUARE,3,26847
35976,TYPE_2,7.2,26853
35977,TYPE_2,7.2,26856
35978,TYPE_2,7.2,26853
35979,TYPE_2,7.2,26856
35980,TYPE_2,7.2,26861
35981,TYPE_2,7.2,26861
35982,TYPE_2,7.2,26860
35983,TYPE_2,7.2,26860
35984,TYPE_2,7.2,26862
35985,TYPE_2,7.2,26862
35986,TYPE_2,7.2,26854
35987,TYPE_2,7.2,26854
35988,TYPE_2,7.2,26859
35989,TYPE_2,7.2,26859
35990,TYPE_2,7.2,26857
35991,TYPE_2,7.2,26857
35992,TYPE_2,7.2,26855
35993,TYPE_2,7.2,26855
35994,TYPE_2,7.2,26858
35995,TYPE_2,7.2,26858
35996,TYPE_2,7,26872
35997,TYPE_2,7.2,26863
35998,TYPE_2,7,26870
35999,TYPE_2,7.2,26863
36000,TYPE_2,7.2,26871
36001,TYPE_2,7,26868
36002,TYPE_2,7.2,26871
36003,TYPE_2,7.2,26865
36004,TYPE_2,3,26864
36005,TYPE_2,7.2,26865
36006,TYPE_2,7,26866
36007,TYPE_2,7.2,26867
36008,TYPE_2,7.2,26867
36009,TYPE_2,7,26872
36010,TYPE_2,7.2,26869
36011,TYPE_2,7,26870
36012,TYPE_2,7.2,26869
36013,TYPE_2,7,26866
36014,TYPE_2,7,26868
36015,TYPE_2,3,26864
36016,TYPE_2,7,26876
36017,TYPE_2,7,26874
36018,TYPE_2,7,26874
36019,TYPE_2,7,26876
36020,TYPE_2,7.2,26875
36021,TYPE_2,7.2,26875
36022,TYPE_2,7.2,26873
36023,TYPE_2,7.2,26873
36024,TYPE_2,3,26882
36025,TYPE_2,3,26878
36026,TYPE_2,7,26880
36027,TYPE_2,3,26884
36028,TYPE_2,7.2,26883
36029,TYPE_2,7,26886
36030,TYPE_2,3,26878
36031,TYPE_2,7,26880
36032,TYPE_2,3,26884
36033,TYPE_2,7,26886
36034,TYPE_2,3,26882
36035,TYPE_2,7.2,26883
36036,TYPE_2,7.2,26885
36037,TYPE_2,7.2,26885
36038,TYPE_2,7.2,26877
36039,TYPE_2,7.2,26879
36040,TYPE_2,7.2,26881
36041,TYPE_2,7.2,26881
36042,TYPE_2,7.2,26879
36043,TYPE_2,7.2,26877
36044,TYPE_2,7,26890
36045,TYPE_2,7,26892
36046,TYPE_2,7,26887
36047,TYPE_2,7,26894
36048,TYPE_2,7,26890
36049,TYPE_2,7,26892
36050,TYPE_2,7,26887
36051,TYPE_2,7,26894
36052,TYPE_2,7.2,26888
36053,TYPE_2,7.2,26888
36054,TYPE_2,7.2,26891
36055,TYPE_2,7.2,26891
36056,TYPE_2,7.2,26893
36057,TYPE_2,7.2,26893
36058,TYPE_2,7.2,26889
36059,TYPE_2,7.2,26889
36060,TYPE_2,7,26896
36061,TYPE_2,3,26898
36062,TYPE_2,7,26896
36063,TYPE_2,7.2,26897
36064,TYPE_2,7.2,26897
36065,TYPE_2,3,26898
36066,TYPE_2,7.2,26895
36067,TYPE_2,7.2,26895
36068,TYPE_2,7.2,26899
36069,TYPE_2,7,26900
36070,TYPE_2,7.2,26899
36071,TYPE_2,7,26900
36072,TYPE_2,7.2,26901
36073,TYPE_2,7.2,26901
36074,TYPE_2,7,26902
36075,TYPE_2,7,26902
36076,TYPE_2,7.2,26903
36077,TYPE_2,7.2,26903
36078,TYPE_2,7.2,26905
36079,TYPE_2,7,26906
36080,TYPE_2,7.2,26905
36081,TYPE_2,7,26904
